[15:31:23.6270030] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[15:31:23.6270030] [Info   : LethalMin] Config file generated for Pikmin Type: Ice Pikmin at BepInEx/BepInEx\config\Pikmin\Ice Pikmin.cfg
[15:31:23.6290068] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Ice Pikmin"
[15:31:23.6312799] [Info   : LethalMin] Added Custom Script: IcePikminAI to PikminAI!
[15:31:23.6312799] [Message: LethalMin] Registered Pikmin Type: Ice Pikmin with ID: 3
[15:31:23.6312799] [Message: LethalMin] Registering Pikmin Type: Purple Pikmin
[15:31:23.6312799] [Info   : LethalMin] Generating config file for Pikmin Type: Purple Pikmin
[15:31:23.6322798] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.502, 0.000, 1.000, 1.000)
[15:31:23.6322798] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.243, 0.000, 0.502, 1.000)
[15:31:23.6322798] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[15:31:23.6337848] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[15:31:23.6337848] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[15:31:23.6337848] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[15:31:23.6337848] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[15:31:23.6347937] [Debug  : LethalMin] SetGhostColor set to True
[15:31:23.6347937] [Debug  : LethalMin] DisableRegistration set to False
[15:31:23.6347937] [Debug  : LethalMin] SetColorOnSprout set to True
[15:31:23.6347937] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[15:31:23.6347937] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[15:31:23.6347937] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6357928] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[15:31:23.6488156] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[15:31:23.6488156] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[15:31:23.6488156] [Debug  : LethalMin] DefaultSpeed set to 1
[15:31:23.6488156] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.25
[15:31:23.6488156] [Debug  : LethalMin] CarryStrength set to 30
[15:31:23.6498993] [Debug  : LethalMin] ThrowForce set to (21.00, 21.00, 21.00)
[15:31:23.6498993] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[15:31:23.6498993] [Debug  : LethalMin] ItemDetectionRange set to 5
[15:31:23.6498993] [Debug  : LethalMin] CanLatchOnToObjects set to True
[15:31:23.6509021] [Debug  : LethalMin] CanJumpOntoObjects set to True
[15:31:23.6509021] [Debug  : LethalMin] CanCarryObjects set to True
[15:31:23.6509021] [Debug  : LethalMin] AttackStrength set to 1
[15:31:23.6509021] [Debug  : LethalMin] AttackRate set to 0.5
[15:31:23.6509021] [Debug  : LethalMin] AttackDistance set to 0.5
[15:31:23.6509021] [Debug  : LethalMin] JumpLatchOnRange set to 3
[15:31:23.6509021] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[15:31:23.6509021] [Debug  : LethalMin] DeathDamageRange set to 0
[15:31:23.6519020] [Debug  : LethalMin] DamageDeltUpLanding set to 6
[15:31:23.6519020] [Debug  : LethalMin] ShakeEndurance set to 0.75
[15:31:23.6519020] [Debug  : LethalMin] SpawnsIndoors set to True
[15:31:23.6519020] [Debug  : LethalMin] SpawnsOutdoors set to False
[15:31:23.6519020] [Debug  : LethalMin] SpawnsAsSprout set to False
[15:31:23.6519020] [Debug  : LethalMin] UsesPikminContainer set to True
[15:31:23.6519020] [Debug  : LethalMin] SpawnAfterDay set to -1
[15:31:23.6519020] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6529009] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6529009] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.6529009] [Debug  : LethalMin] InstaEnterOnion set to False
[15:31:23.6529009] [Debug  : LethalMin] UsePresetFormatting set to True
[15:31:23.6529009] [Debug  : LethalMin] HelpfulLevel set to 70%
[15:31:23.6529009] [Debug  : LethalMin] ScientificName set to Pikminidae yokozunum
[15:31:23.6529009] [Debug  : LethalMin] piklopediaName set to 
[15:31:23.6539001] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[15:31:23.6539001] [Info   : LethalMin] Config file generated for Pikmin Type: Purple Pikmin at BepInEx/BepInEx\config\Pikmin\Purple Pikmin.cfg
[15:31:23.6548993] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Purple Pikmin"
[15:31:23.6559018] [Info   : LethalMin] Added Custom Script: PurplePikminAI to PikminAI!
[15:31:23.6559018] [Message: LethalMin] Registered Pikmin Type: Purple Pikmin with ID: 4
[15:31:23.6559018] [Message: LethalMin] Registering Pikmin Type: Red Pikmin
[15:31:23.6559018] [Info   : LethalMin] Generating config file for Pikmin Type: Red Pikmin
[15:31:23.6568986] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(1.000, 0.000, 0.000, 1.000)
[15:31:23.6568986] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.000, 0.000, 1.000)
[15:31:23.6568986] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[15:31:23.6568986] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
