[17:30:47.3481829] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3481829] [Debug  : LethalMin] InstaEnterOnion set to False
[17:30:47.3481829] [Debug  : LethalMin] UsePresetFormatting set to True
[17:30:47.3481829] [Debug  : LethalMin] HelpfulLevel set to 60%
[17:30:47.3481829] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[17:30:47.3481829] [Debug  : LethalMin] piklopediaName set to 
[17:30:47.3481829] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[17:30:47.3481829] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[17:30:47.3501825] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[17:30:47.3511826] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[17:30:47.3511826] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[17:30:47.3511826] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[17:30:47.3521832] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[17:30:47.3531826] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[17:30:47.3531826] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:30:47.3531826] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:30:47.3531826] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:30:47.3531826] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:30:47.3531826] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:30:47.3531826] [Debug  : LethalMin] SetGhostColor set to True
[17:30:47.3531826] [Debug  : LethalMin] DisableRegistration set to False
[17:30:47.3541821] [Debug  : LethalMin] SetColorOnSprout set to True
[17:30:47.3541821] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:30:47.3541821] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:30:47.3541821] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3541821] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3541821] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:30:47.3541821] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[17:30:47.3551824] [Debug  : LethalMin] DefaultSpeed set to 1
[17:30:47.3551824] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:30:47.3551824] [Debug  : LethalMin] CarryStrength set to 3
[17:30:47.3551824] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:30:47.3551824] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:30:47.3551824] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:30:47.3551824] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:30:47.3561832] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:30:47.3561832] [Debug  : LethalMin] CanCarryObjects set to True
[17:30:47.3561832] [Debug  : LethalMin] AttackStrength set to 1
[17:30:47.3561832] [Debug  : LethalMin] AttackRate set to 0.5
[17:30:47.3561832] [Debug  : LethalMin] AttackDistance set to 0.5
[17:30:47.3561832] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:30:47.3571870] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:30:47.3571870] [Debug  : LethalMin] DeathDamageRange set to 0
[17:30:47.3571870] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:30:47.3571870] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:30:47.3571870] [Debug  : LethalMin] SpawnsIndoors set to False
[17:30:47.3571870] [Debug  : LethalMin] SpawnsOutdoors set to False
[17:30:47.3571870] [Debug  : LethalMin] SpawnsAsSprout set to False
[17:30:47.3571870] [Debug  : LethalMin] UsesPikminContainer set to False
[17:30:47.3582870] [Debug  : LethalMin] SpawnAfterDay set to 6
[17:30:47.3582870] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3582870] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3582870] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3592893] [Debug  : LethalMin] InstaEnterOnion set to False
[17:30:47.3592893] [Debug  : LethalMin] UsePresetFormatting set to True
[17:30:47.3592893] [Debug  : LethalMin] HelpfulLevel set to 90%
[17:30:47.3592893] [Debug  : LethalMin] ScientificName set to Pikminidae supravelum
[17:30:47.3592893] [Debug  : LethalMin] piklopediaName set to 
[17:30:47.3592893] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[17:30:47.3592893] [Info   : LethalMin] Config file generated for Pikmin Type: Glow Pikmin at BepInEx/BepInEx\config\Pikmin\Glow Pikmin.cfg
[17:30:47.3612880] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Glow Pikmin"
[17:30:47.3632902] [Info   : LethalMin] Added Custom Script: GlowPikminAI to PikminAI!
[17:30:47.3632902] [Message: LethalMin] Registered Pikmin Type: Glow Pikmin with ID: 2
[17:30:47.3632902] [Message: LethalMin] Registering Pikmin Type: Ice Pikmin
