[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #15 'Herobrine' : probability: 3
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 16
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #16 'Locker' : probability: 8
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 17
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #17 'ImmortalSnail' : probability: 46
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 18
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #18 'HarpGhost' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 19
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #19 'BagpipeGhost' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 20
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #20 'EnforcerGhost' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 21
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #21 'Shy guy' : probability: 3
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 22
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #22 'Men-stalker' : probability: 40
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 23
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #23 'SlendermanEnemy' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 24
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #24 'Cabinet' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 25
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #25 'Aloe' : probability: 38
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 26
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #26 'RollingGiant' : probability: 25
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 27
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #27 'Boomba' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 28
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #28 'Rabbit Magician' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 29
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #29 'Peace Keeper' : probability: 1
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 30
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #30 'Lord Of The Manor' : probability: 2
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 31
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #31 'Janitor' : probability: 21
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 32
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #32 'Nancy' : probability: 7
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 33
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #33 'Mistress' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 34
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #34 'Duck' : probability: 0
[17:35:53.9501811] [Info   : Unity Log] enemy rush index is -1; current index 35
[17:35:53.9501811] [Info   : Unity Log] Hours: 180 ; Time: 0.1666667 | Enemy #35 'Transporter' : probability: 49
