[08:09:05.3382651] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[08:09:05.3382651] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[08:09:05.3382651] [Debug  : LethalMin] InstaEnterOnion set to False
[08:09:05.3392647] [Debug  : LethalMin] UsePresetFormatting set to True
[08:09:05.3392647] [Debug  : LethalMin] HelpfulLevel set to 60%
[08:09:05.3392647] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[08:09:05.3392647] [Debug  : LethalMin] piklopediaName set to 
[08:09:05.3392647] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[08:09:05.3392647] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[08:09:05.3412665] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[08:09:05.3412665] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[08:09:05.3412665] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[08:09:05.3412665] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[08:09:05.3422681] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[08:09:05.3432663] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[08:09:05.3432663] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[08:09:05.3432663] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[08:09:05.3432663] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[08:09:05.3432663] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[08:09:05.3432663] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[08:09:05.3432663] [Debug  : LethalMin] SetGhostColor set to True
[08:09:05.3432663] [Debug  : LethalMin] DisableRegistration set to False
[08:09:05.3432663] [Debug  : LethalMin] SetColorOnSprout set to True
[08:09:05.3432663] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[08:09:05.3432663] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[08:09:05.3442673] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[08:09:05.3442673] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[08:09:05.3442673] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[08:09:05.3442673] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[08:09:05.3442673] [Debug  : LethalMin] DefaultSpeed set to 1
[08:09:05.3442673] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[08:09:05.3442673] [Debug  : LethalMin] CarryStrength set to 4
[08:09:05.3452658] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[08:09:05.3452658] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[08:09:05.3452658] [Debug  : LethalMin] ItemDetectionRange set to 5
[08:09:05.3452658] [Debug  : LethalMin] CanLatchOnToObjects set to True
[08:09:05.3452658] [Debug  : LethalMin] CanJumpOntoObjects set to True
[08:09:05.3452658] [Debug  : LethalMin] CanCarryObjects set to True
[08:09:05.3452658] [Debug  : LethalMin] AttackStrength set to 1
[08:09:05.3452658] [Debug  : LethalMin] AttackRate set to 0.5
[08:09:05.3452658] [Debug  : LethalMin] AttackDistance set to 0.5
[08:09:05.3462663] [Debug  : LethalMin] JumpLatchOnRange set to 5
[08:09:05.3462663] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[08:09:05.3462663] [Debug  : LethalMin] DeathDamageRange set to 0
[08:09:05.3462663] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[08:09:05.3462663] [Debug  : LethalMin] ShakeEndurance set to 0.75
[08:09:05.3462663] [Debug  : LethalMin] SpawnsIndoors set to False
[08:09:05.3462663] [Debug  : LethalMin] SpawnsOutdoors set to False
[08:09:05.3462663] [Debug  : LethalMin] SpawnsAsSprout set to False
[08:09:05.3462663] [Debug  : LethalMin] UsesPikminContainer set to False
[08:09:05.3472646] [Debug  : LethalMin] SpawnAfterDay set to 6
[08:09:05.3472646] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[08:09:05.3472646] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[08:09:05.3472646] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[08:09:05.3472646] [Debug  : LethalMin] InstaEnterOnion set to False
[08:09:05.3472646] [Debug  : LethalMin] UsePresetFormatting set to True
[08:09:05.3472646] [Debug  : LethalMin] HelpfulLevel set to 90%
[08:09:05.3472646] [Debug  : LethalMin] ScientificName set to Pikminidae supravelum
[08:09:05.3472646] [Debug  : LethalMin] piklopediaName set to 
[08:09:05.3482919] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[08:09:05.3482919] [Info   : LethalMin] Config file generated for Pikmin Type: Glow Pikmin at BepInEx/BepInEx\config\Pikmin\Glow Pikmin.cfg
[08:09:05.3492933] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Glow Pikmin"
[08:09:05.3502928] [Info   : LethalMin] Added Custom Script: GlowPikminAI to PikminAI!
[08:09:05.3502928] [Message: LethalMin] Registered Pikmin Type: Glow Pikmin with ID: 2
[08:09:05.3502928] [Message: LethalMin] Registering Pikmin Type: Ice Pikmin
[08:09:05.3502928] [Info   : LethalMin] Generating config file for Pikmin Type: Ice Pikmin
[08:09:05.3563098] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 1.000, 1.000)
