[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Bunker Spider Plushie"
[19:02:42.0449468] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Hoarding Bug Plushie"
[19:02:42.0459463] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Jester Plushie"
[19:02:42.0459463] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Forest Keeper Plushie"
[19:02:42.0459463] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Nutcracker Plushie"
[19:02:42.0459463] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Eyeless Dog Plushie"
[19:02:42.0459463] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|MonsterPlushies/Thumper Plushie"
[19:02:42.0459463] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|Scopophobia/ShyGuyPainting"
[19:02:42.0459463] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|SlendermanMod/Page"
[19:02:42.0459463] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/LethalLib|SlendermanMod/Page"
[19:02:42.0469474] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/LethalLib|SlendermanMod/Page"
[19:02:42.0469474] [Warning:ainavt.lc.lethalconfig] Ignoring duplicated config "Matty's Fixes/LethalLib|SlendermanMod/Page"
[19:02:42.0469474] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|SlendermanMod/Strange Page"
[19:02:42.0469474] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|SlendermanMod/Missing Poster"
[19:02:42.0469474] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|SlendermanMod/Dirty Page"
[19:02:42.0469474] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|SlendermanMod/Mysterious Page"
[19:02:42.0469474] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Frieren"
[19:02:42.0469474] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Chocobo"
[19:02:42.0469474] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Ainz Ooal Gown"
[19:02:42.0480222] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Helm of Domination"
[19:02:42.0480222] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/The King"
[19:02:42.0480222] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Harry Mason"
[19:02:42.0480222] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Mystic Cristal"
[19:02:42.0480222] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Puppy Shark"
[19:02:42.0480222] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Rupee"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Ea-Nasir Statue"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/HearthStone Card"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/SODA"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Comically Large Spoon"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/crouton"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Airhorn"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Balan Statue"
[19:02:42.0490292] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Friendship ender"
[19:02:42.0500255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Scroll of Town Portal"
[19:02:42.0500255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Stick"
[19:02:42.0500255] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/LethalLib|PremiumScraps/Basics of architecture"
