guid,instance_count,observed_name_overrides,resolution_status,checkpoint,asset_kind,asset_path,asset_git_blob,topology_proven
"b16106f504369c3428bfac2fa669c5b1","9","PalletPile1 | PalletPile1 (1) | PalletPile1 (2)","SOURCE_PATH_UNRESOLVED","","","","","false"
"b6939e5df363465468450acd37900193","8","NoFlySign (2) | NoFlySign | NoFlySign (1) | NoFlySign (7) | NoFlySign (5) | NoFlySign (6) | NoFlySign (4) | NoFlySign (3)","SOURCE_PATH_UNRESOLVED","","","","","false"
"b9c878de8f3028e47b501b37908b3306","18","WallPin 1 | WallPin 1 (14) | WallPin 1 (3) | WallPin 1 (4) | WallPin 1 (13) | WallPin 1 (1) | WallPin 1 (10) | WallPin 1 (9) | WallPin 1 (11) | WallPin 1 (8) | WallPin 1 (2) | WallPin 1 (5) | WallPin 1 (12) | WallPin 1 (7) | WallPin 1 (6)","SOURCE_PATH_UNRESOLVED","","","","","false"
"baaae1dd770360e44b73a5addcaa182f","61","ScaffBigPlank | ScaffBigPlank (1) | ScaffBigPlank (2)","SOURCE_PATH_UNRESOLVED","","","","","false"
"baf1e4f7ed84fea4e8b275b261a4e21a","1","SnailCatPhoto","SOURCE_PATH_UNRESOLVED","","","","","false"
"bba6726ae39820b49a0e4c65bf1c3a72","1","DuckPhoto","SOURCE_PATH_UNRESOLVED","","","","","false"
"bc277621dd1e80642938f76b427a0a76","6","Candy.008 | Candy.008 (1)","SOURCE_PATH_UNRESOLVED","","","","","false"
"bcbb248afed0b3e4d874d4e42f57a9c9","1","NavMeshModifierVolume","SOURCE_PATH_UNRESOLVED","","","","","false"
"bd56ec3c725a6904297716e6723433fa","5","FullBucket1 1 (2) | FullBucket1 1 (1) | FullBucket1 1 (4) | FullBucket1 1 (3) | FullBucket1 1","SOURCE_PATH_UNRESOLVED","","","","","false"
"bda9c03d997b3a84ab50549257a92bad","7","WaterTower (1) | WaterTower | WaterTower (3) | WaterTower (2)","SOURCE_PATH_RESOLVED","C3E2C","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/Decoration/WaterTower.prefab","069a3ded44f0e67c11c2cdcf480ffcf6e5c6d14e","false"
"bdc09bb0305460b45af8ae4cb43b2771","30","CartPlatform (19) | CartPlatform (8) | CartPlatform (7) | CartPlatform (26) | CartPlatform (3) | CartPlatform (29) | CartPlatform (25) | CartPlatform (5) | CartPlatform (17) | CartPlatform (1) | CartPlatform (13) | CartPlatform (4) | CartPlatform (12) | CartPlatform (21) | CartPlatform (10) | CartPlatform (28) | CartPlatform (18) | CartPlatform (27) | CartPlatform (24) | CartPlatform (23) | CartPlatform (11) | CartPlatform (14) | CartPlatform (6) | CartPlatform (2) | CartPlatform (9) | CartPlatform (15) | CartPlatform (22) | CartPlatform (20) | CartPlatform | CartPlatform (16)","SOURCE_PATH_UNRESOLVED","","","","","false"
"be368c87dfcf8a442853df4e1c4362bd","6","BigTruck (2) | BigTruck (4) | BigTruck | BigTruck (1) | BigTruck (3)","SOURCE_PATH_UNRESOLVED","","","","","false"
"bf118ce4bee444c48b81119847abdd6c","1","Jimothybabyboy","SOURCE_PATH_RESOLVED","C3E2C","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/JimothyNpc/Jimothybabyboy.prefab","0641d80884673730023fbcc9cb6706080ef88d9d","false"
"c1597fe62c62fa644ab24a1460b6efcf","1","PeaceKeeperPhoto","SOURCE_PATH_UNRESOLVED","","","","","false"
"c35ecd8bbe1e7d546b9cf5a1278450c3","38","Grave3 (1) | Grave3 (2) | Grave3 (8) | Grave3 (6) | Grave3 | Grave3 (4) | Grave3 (16) | Grave3 (14) | Grave3 (3) | Grave3 (15) | Grave3 (13) | Grave3 (12) | Grave3 (7) | Grave3 (5) | Grave3 (17) | Grave3 (9) | Grave3 (11) | Grave3 (10)","SOURCE_PATH_UNRESOLVED","","","","","false"
"c369c9f300086984f8f4e0da9959f611","1","DriftwoodPhoto","SOURCE_PATH_UNRESOLVED","","","","","false"
"c48d3516e654cef4da603caa740245f0","11","CratesSpawn | CratesSpawn (3) | CratesSpawn (4) | CratesSpawn (8) | CratesSpawn (6) | CratesSpawn (7) | CratesSpawn (5) | CratesSpawn (10) | CratesSpawn (1) | CratesSpawn (9) | CratesSpawn (2)","SOURCE_PATH_RESOLVED","C3E2C","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Spawners/CratesSpawn.prefab","2a93e24b1c7cae100d59ceb2ef39eb3951fa2a28","false"
