[16:34:58.2754012] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Candelabra(399) needs to compute vertical offset - scheduled
[16:34:58.2985987] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Candelabra(400) needs to compute vertical offset - scheduled
[16:34:58.3176307] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Teddy Bear(401) needs to compute vertical offset - scheduled
[16:34:58.3356530] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Teddy Bear(402) needs to compute vertical offset - scheduled
[16:34:58.3561809] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Teddy Bear(403) needs to compute vertical offset - scheduled
[16:34:58.3746977] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bones(404) needs to compute vertical offset - scheduled
[16:34:58.3932456] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bones(405) needs to compute vertical offset - scheduled
[16:34:58.4127778] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bones(406) needs to compute vertical offset - scheduled
[16:34:58.4322971] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Pentagram(407) needs to compute vertical offset - scheduled
[16:34:58.4322971] [Warning: LethalMin] Item Pentagram(Clone) is not valid for Pikmin! Skipping...
[16:34:58.4505244] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Bomb(408) needs to compute vertical offset - scheduled
[16:34:58.4505244] [Warning: LethalMin] Item Bomb(Clone) is not valid for Pikmin! Skipping...
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem TophatPrefab(Clone) with item TophatPrefab(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem EnginePart(Clone) with item EnginePart(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem BrokenenginePrefab(Clone) with item BrokenenginePrefab(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem Violin(Clone) with item Violin(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem BeercanPrefab(Clone) with item BeercanPrefab(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem BigBolt(Clone) with item BigBolt(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem Gazpacho(Clone) with item Gazpacho(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem Recorder(Clone) with item Recorder(Clone) (True)
[16:34:58.8796138] [Debug  : LethalMin] Initializing PikminItem VentPrefab(Clone) with item VentPrefab(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem HamisPlush(Clone) with item HamisPlush(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem FireextinguisherPrefab(Clone) with item FireextinguisherPrefab(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem Chocobo(Clone) with item Chocobo(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem ClockPrefab(Clone) with item ClockPrefab(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem WheelPrefab(Clone) with item WheelPrefab(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem AirHornCustom(Clone) with item AirHornCustom(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem CookieMoldPan(Clone) with item CookieMoldPan(Clone) (True)
[16:34:58.8806137] [Debug  : LethalMin] Initializing PikminItem Accordion(Clone) with item Accordion(Clone) (True)
[16:34:58.8836138] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[16:34:58.8846136] [Debug  :Buttery Fixes] Landmine #-436146: Nudged radar dot upwards
[16:34:58.8871189] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[16:34:58.8886270] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[16:34:58.8886270] [Debug  :Buttery Fixes] Landmine #-436280: Nudged radar dot upwards
[16:34:59.0499692] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[16:34:59.0499692] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[16:34:59.0499692] [Debug  :Buttery Fixes] Landmine #-436414: Nudged radar dot upwards
[16:34:59.0499692] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[16:34:59.0519692] [Warning: LethalMin] Pikmin Item MedKitMap(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item MedKitMap(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item MedKitMap(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item ScavExtract(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Heart(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Heart(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Heart(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Crucifix(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Crucifix(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Crucifix(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item candelabra(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item candelabra(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item candelabra(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Teddy Bear(Clone) does not exist in the PikminManager.
[16:34:59.0534728] [Warning: LethalMin] Pikmin Item Teddy Bear(Clone) does not exist in the PikminManager.
[16:34:59.0544782] [Warning: LethalMin] Pikmin Item Teddy Bear(Clone) does not exist in the PikminManager.
[16:34:59.0544782] [Warning: LethalMin] Pikmin Item Bones(Clone) does not exist in the PikminManager.
[16:34:59.0544782] [Warning: LethalMin] Pikmin Item Bones(Clone) does not exist in the PikminManager.
[16:34:59.0544782] [Warning: LethalMin] Pikmin Item Bones(Clone) does not exist in the PikminManager.
