[17:07:55.7437019] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Block Enemies From Entering Zeranos Ship"
[17:07:55.7447017] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the Elevator on Zeranos"
[17:07:55.7467027] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Targets Winged Pikmin"
[17:07:55.7477015] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Bullet Knockbacks Pikmin"
[17:07:55.7487017] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Targets Pikmin"
[17:07:55.7497022] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Squishes Pikmin"
[17:07:55.7517027] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockbacks Pikmin"
[17:07:55.7532054] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockback Strength Threshold"
[17:07:55.7542091] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Microwave Knockbacks Pikmin"
[17:07:55.7552128] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Flash Turret Knockbacks Pikmin"
[17:07:55.7572126] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Laser Turret Kills Pikmin"
[17:07:55.7582125] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pulls Pikmin"
[17:07:55.7592126] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pull Strength Threshold"
[17:07:55.7612124] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Compactor Squishes Pikmin"
[17:07:55.7612124] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Go to the shredder before compactor"
[17:07:55.7637188] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Auto Set Hud Preset"
[17:07:55.7652218] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dont Use Input Utils For VR"
[17:07:55.7662262] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Sprout Interaction"
[17:07:55.7682256] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Whistle Fix"
[17:07:55.7693037] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Onion HUD Z Distance"
[17:07:55.7703040] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Button"
[17:07:55.7713029] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Throw Button"
[17:07:55.7728079] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Forward Button"
[17:07:55.7748115] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Backwards Button"
[17:07:55.7758125] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Whistle Button"
[17:07:55.7768139] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Use Mouth to Dismiss"
[17:07:55.7778113] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dismiss Button"
[17:07:55.7798138] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Whistle Sound Button"
[17:07:55.7808122] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Charge Button"
[17:07:55.7818127] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Charge Button"
[17:07:55.7833158] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Charge Motion Blur"
[17:07:55.7853200] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Button (hold)"
[17:07:55.7868288] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Delay"
[17:07:55.7878290] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Cancel Button"
[17:07:55.7888272] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Do Audible Noise Calculations For Pikmin"
[17:07:55.7908287] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Resimulate Oracle On Pikmin Death"
[17:07:55.7918287] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Remove Puffmin From Spawn Search"
[17:07:55.7933322] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/WiderShipMod/Make Custom Bounds For Wide Ship"
[17:07:55.7943362] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Base Pick Chance"
[17:07:55.7953390] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Minimum"
[17:07:55.7973395] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Curve Base"
[17:07:55.7983391] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Alert Blacklist Range"
[17:07:55.7993405] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Enable Interaction"
[17:07:55.8013407] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Kill Everything"
[17:07:55.8028445] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Attack Chance"
[17:07:55.8038489] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Pikmin Friendly Despawn"
[17:07:55.8048525] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Carry Weight"
[17:07:55.8058522] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Navmesh Check Blacklist"
[17:07:55.8078533] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Check Navmesh"
[17:07:55.8088531] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Pikmin Configs"
[17:07:55.8098525] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Use ModDataLib"
[17:07:55.8118522] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Clean Moon Names"
[17:07:55.8128523] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Moon Spawn Configs"
[17:07:55.8138781] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Weather Spawn Configs"
