[12:20:04.1235854] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[12:20:04.1235854] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[12:20:04.1235854] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[12:20:04.1235854] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[12:20:04.1235854] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[12:20:04.1235854] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[12:20:04.1235854] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[12:20:04.1235854] [Debug  : LethalMin] SetGhostColor set to True
[12:20:04.1245861] [Debug  : LethalMin] DisableRegistration set to False
[12:20:04.1245861] [Debug  : LethalMin] SetColorOnSprout set to True
[12:20:04.1245861] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[12:20:04.1245861] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[12:20:04.1245861] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[12:20:04.1245861] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[12:20:04.1245861] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[12:20:04.1255870] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[12:20:04.1255870] [Debug  : LethalMin] DefaultSpeed set to 1
[12:20:04.1255870] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[12:20:04.1255870] [Debug  : LethalMin] CarryStrength set to 3
[12:20:04.1255870] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[12:20:04.1255870] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[12:20:04.1265847] [Debug  : LethalMin] ItemDetectionRange set to 5
[12:20:04.1265847] [Debug  : LethalMin] CanLatchOnToObjects set to True
[12:20:04.1265847] [Debug  : LethalMin] CanJumpOntoObjects set to True
[12:20:04.1265847] [Debug  : LethalMin] CanCarryObjects set to True
[12:20:04.1265847] [Debug  : LethalMin] AttackStrength set to 1
[12:20:04.1265847] [Debug  : LethalMin] AttackRate set to 0.5
[12:20:04.1265847] [Debug  : LethalMin] AttackDistance set to 0.5
[12:20:04.1265847] [Debug  : LethalMin] JumpLatchOnRange set to 5
[12:20:04.1275856] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[12:20:04.1275856] [Debug  : LethalMin] DeathDamageRange set to 0
[12:20:04.1275856] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[12:20:04.1275856] [Debug  : LethalMin] ShakeEndurance set to 0.75
[12:20:04.1275856] [Debug  : LethalMin] SpawnsIndoors set to False
[12:20:04.1275856] [Debug  : LethalMin] SpawnsOutdoors set to False
[12:20:04.1275856] [Debug  : LethalMin] SpawnsAsSprout set to False
[12:20:04.1285870] [Debug  : LethalMin] UsesPikminContainer set to False
[12:20:04.1285870] [Debug  : LethalMin] SpawnAfterDay set to 6
[12:20:04.1285870] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1285870] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1285870] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1285870] [Debug  : LethalMin] InstaEnterOnion set to False
[12:20:04.1285870] [Debug  : LethalMin] UsePresetFormatting set to True
[12:20:04.1295846] [Debug  : LethalMin] HelpfulLevel set to 90%
[12:20:04.1295846] [Debug  : LethalMin] ScientificName set to Pikminidae supravelum
[12:20:04.1295846] [Debug  : LethalMin] piklopediaName set to 
[12:20:04.1295846] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[12:20:04.1295846] [Info   : LethalMin] Config file generated for Pikmin Type: Glow Pikmin at BepInEx/BepInEx\config\Pikmin\Glow Pikmin.cfg
[12:20:04.1316218] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Glow Pikmin"
[12:20:04.1326212] [Info   : LethalMin] Added Custom Script: GlowPikminAI to PikminAI!
[12:20:04.1326212] [Message: LethalMin] Registered Pikmin Type: Glow Pikmin with ID: 2
[12:20:04.1326212] [Message: LethalMin] Registering Pikmin Type: Ice Pikmin
[12:20:04.1326212] [Info   : LethalMin] Generating config file for Pikmin Type: Ice Pikmin
[12:20:04.1408143] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 1.000, 1.000)
[12:20:04.1408143] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.502, 0.502, 1.000)
[12:20:04.1408143] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[12:20:04.1408143] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[12:20:04.1408143] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[12:20:04.1408143] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[12:20:04.1418150] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[12:20:04.1418150] [Debug  : LethalMin] SetGhostColor set to True
[12:20:04.1418150] [Debug  : LethalMin] DisableRegistration set to False
[12:20:04.1418150] [Debug  : LethalMin] SetColorOnSprout set to True
[12:20:04.1418150] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[12:20:04.1418150] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[12:20:04.1428201] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[12:20:04.1428201] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[12:20:04.1428201] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[12:20:04.1428201] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[12:20:04.1428201] [Debug  : LethalMin] DefaultSpeed set to 1
[12:20:04.1438193] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[12:20:04.1438193] [Debug  : LethalMin] CarryStrength set to 3
[12:20:04.1438193] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[12:20:04.1438193] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[12:20:04.1438193] [Debug  : LethalMin] ItemDetectionRange set to 5
[12:20:04.1448205] [Debug  : LethalMin] CanLatchOnToObjects set to True
[12:20:04.1448205] [Debug  : LethalMin] CanJumpOntoObjects set to True
[12:20:04.1448205] [Debug  : LethalMin] CanCarryObjects set to True
[12:20:04.1448205] [Debug  : LethalMin] AttackStrength set to 0.5
[12:20:04.1448205] [Debug  : LethalMin] AttackRate set to 0.5
[12:20:04.1448205] [Debug  : LethalMin] AttackDistance set to 0.5
[12:20:04.1458214] [Debug  : LethalMin] JumpLatchOnRange set to 5
