[20:38:37.2459720] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Alpha"
[20:38:37.2469696] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Current Slot"
[20:38:37.2489722] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Next Slot"
[20:38:37.2499704] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Previous Slot"
[20:38:37.2509705] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Carousel Effect"
[20:38:37.2524722] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Position"
[20:38:37.2534755] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Rotation"
[20:38:37.2554769] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Scale"
[20:38:37.2564767] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Active"
[20:38:37.2584780] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Idle"
[20:38:37.2594782] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Existence Counter"
[20:38:37.2614780] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Squad Counter"
[20:38:37.2629816] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Field Counter"
[20:38:37.2639840] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Hide Selected When Scan Notification"
[20:38:37.2659851] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Dont Update Hud Configs"
[20:38:37.2669850] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Grayout Buttons In Onion HUD"
[20:38:37.2689842] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Whistle Price"
[20:38:37.2704894] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Onion Price"
[20:38:37.2714907] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Tricknoll Price"
[20:38:37.2725222] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/PluckaPhone Price"
[20:38:37.2745301] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Whistle Price"
[20:38:37.2765301] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Is Whistle Conductive"
[20:38:37.2775300] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Time"
[20:38:37.2795304] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Distance"
[20:38:37.2807321] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn Chance"
[20:38:37.2817331] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn After Days"
[20:38:37.2827333] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Odds To Turn Into Seed"
[20:38:37.2853140] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Useable At Company"
[20:38:37.2863124] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Own Tamed Enemies"
[20:38:37.2873144] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Others Tamed Enemies"
[20:38:37.2893141] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LC-Office/Allow Metal Detector To Zap"
[20:38:37.2903135] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the ship on Zeranos"
[20:38:37.2923147] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Block Enemies From Entering Zeranos Ship"
[20:38:37.2934224] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the Elevator on Zeranos"
[20:38:37.2954241] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Targets Winged Pikmin"
[20:38:37.2964230] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Bullet Knockbacks Pikmin"
[20:38:37.2974229] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Targets Pikmin"
[20:38:37.2994231] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Squishes Pikmin"
[20:38:37.3014233] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockbacks Pikmin"
