[08:38:13.4941937] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Puffmin Behavior/Turn To Normal On Death"
[08:38:13.5001963] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/HUD Layout Preset"
[08:38:13.5011934] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Position"
[08:38:13.5021950] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Rotation"
[08:38:13.5042120] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Scale"
[08:38:13.5052116] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Alpha"
[08:38:13.5072110] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Current Slot"
[08:38:13.5082128] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Next Slot"
[08:38:13.5102108] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Previous Slot"
[08:38:13.5112103] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Carousel Effect"
[08:38:13.5122103] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Position"
[08:38:13.5132097] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Rotation"
[08:38:13.5143123] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Scale"
[08:38:13.5163103] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Active"
[08:38:13.5173111] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Idle"
[08:38:13.5183096] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Existence Counter"
[08:38:13.5203096] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Squad Counter"
[08:38:13.5213107] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Field Counter"
[08:38:13.5223095] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Hide Selected When Scan Notification"
[08:38:13.5233101] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Dont Update Hud Configs"
[08:38:13.5248274] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Grayout Buttons In Onion HUD"
[08:38:13.5268319] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Whistle Price"
[08:38:13.5278315] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Onion Price"
[08:38:13.5288332] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Tricknoll Price"
[08:38:13.5298315] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/PluckaPhone Price"
[08:38:13.5318317] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Whistle Price"
[08:38:13.5318317] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Is Whistle Conductive"
[08:38:13.5343395] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Time"
[08:38:13.5353394] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Distance"
[08:38:13.5363393] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn Chance"
[08:38:13.5373402] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn After Days"
[08:38:13.5393393] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Odds To Turn Into Seed"
[08:38:13.5403404] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Useable At Company"
[08:38:13.5413405] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Own Tamed Enemies"
[08:38:13.5433405] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Others Tamed Enemies"
[08:38:13.5446347] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LC-Office/Allow Metal Detector To Zap"
[08:38:13.5456356] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the ship on Zeranos"
[08:38:13.5466338] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Block Enemies From Entering Zeranos Ship"
[08:38:13.5486359] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the Elevator on Zeranos"
[08:38:13.5496342] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Targets Winged Pikmin"
[08:38:13.5506345] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Bullet Knockbacks Pikmin"
[08:38:13.5516350] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Targets Pikmin"
[08:38:13.5541462] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Squishes Pikmin"
[08:38:13.5551444] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockbacks Pikmin"
[08:38:13.5561447] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockback Strength Threshold"
[08:38:13.5586545] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Microwave Knockbacks Pikmin"
[08:38:13.5596545] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Flash Turret Knockbacks Pikmin"
[08:38:13.5606542] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Laser Turret Kills Pikmin"
[08:38:13.5616533] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pulls Pikmin"
[08:38:13.5641613] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pull Strength Threshold"
[08:38:13.5651646] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Compactor Squishes Pikmin"
[08:38:13.5661643] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Go to the shredder before compactor"
[08:38:13.5681644] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Auto Set Hud Preset"
[08:38:13.5691646] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dont Use Input Utils For VR"
[08:38:13.5701641] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Sprout Interaction"
[08:38:13.5711650] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Whistle Fix"
[08:38:13.5731659] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Onion HUD Z Distance"
[08:38:13.5743107] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Button"
[08:38:13.5753107] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Throw Button"
[08:38:13.5763435] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Forward Button"
[08:38:13.5783428] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Backwards Button"
[08:38:13.5793434] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Whistle Button"
[08:38:13.5803429] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Use Mouth to Dismiss"
[08:38:13.5813429] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dismiss Button"
[08:38:13.5833428] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Whistle Sound Button"
[08:38:13.5844517] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Charge Button"
[08:38:13.5854533] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Charge Button"
[08:38:13.5874530] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Charge Motion Blur"
[08:38:13.5884534] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Button (hold)"
[08:38:13.5894527] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Delay"
[08:38:13.5914521] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Cancel Button"
