[17:21:05.3258211] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Whistle Price"
[17:21:05.3273278] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Is Whistle Conductive"
[17:21:05.3283313] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Time"
[17:21:05.3298341] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Distance"
[17:21:05.3308381] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn Chance"
[17:21:05.3318383] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn After Days"
[17:21:05.3338380] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Odds To Turn Into Seed"
[17:21:05.3348380] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Useable At Company"
[17:21:05.3368381] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Own Tamed Enemies"
[17:21:05.3373412] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Others Tamed Enemies"
[17:21:05.3393481] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LC-Office/Allow Metal Detector To Zap"
[17:21:05.3403482] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the ship on Zeranos"
[17:21:05.3413483] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Block Enemies From Entering Zeranos Ship"
[17:21:05.3433480] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the Elevator on Zeranos"
[17:21:05.3443483] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Targets Winged Pikmin"
[17:21:05.3458516] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Bullet Knockbacks Pikmin"
[17:21:05.3468560] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Targets Pikmin"
[17:21:05.3483622] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Squishes Pikmin"
[17:21:05.3493652] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockbacks Pikmin"
[17:21:05.3513658] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockback Strength Threshold"
[17:21:05.3523673] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Microwave Knockbacks Pikmin"
[17:21:05.3533656] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Flash Turret Knockbacks Pikmin"
[17:21:05.3543661] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Laser Turret Kills Pikmin"
[17:21:05.3553663] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pulls Pikmin"
[17:21:05.3578771] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pull Strength Threshold"
[17:21:05.3588786] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Compactor Squishes Pikmin"
[17:21:05.3598773] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Go to the shredder before compactor"
[17:21:05.3618761] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Auto Set Hud Preset"
[17:21:05.3628755] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dont Use Input Utils For VR"
[17:21:05.3638754] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Sprout Interaction"
[17:21:05.3648759] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Whistle Fix"
[17:21:05.3668780] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Onion HUD Z Distance"
[17:21:05.3681602] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Button"
[17:21:05.3691609] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Throw Button"
[17:21:05.3711599] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Forward Button"
[17:21:05.3721598] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Backwards Button"
