[10:31:24.2260420] [Debug  :Buttery Fixes] Scan node: Apparatus
[10:31:24.2260420] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Sink(392) needs to compute vertical offset - scheduled
[10:31:24.2495884] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/IKeyboard(393) needs to compute vertical offset - scheduled
[10:31:24.2687021] [Debug  :Matty's Fixes] Vanilla/Remote(394) needs to compute vertical offset - scheduled
[10:31:24.2882257] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/IClock(395) needs to compute vertical offset - scheduled
[10:31:24.3062332] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Canteen(396) needs to compute vertical offset - scheduled
[10:31:24.3247993] [Debug  :Matty's Fixes] LethalLib/PremiumScraps/Frieren(397) needs to compute vertical offset - scheduled
[10:31:24.3713690] [Debug  :Matty's Fixes] Vanilla/Airhorn(398) needs to compute vertical offset - scheduled
[10:31:24.3949574] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/ImmersiveAnvil(399) needs to compute vertical offset - scheduled
[10:31:24.4151446] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Gameboy(400) needs to compute vertical offset - scheduled
[10:31:24.4361821] [Debug  :Matty's Fixes] LethalLib/PremiumScraps/Job application(401) needs to compute vertical offset - scheduled
[10:31:24.4552418] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/ImmersiveHammer(402) needs to compute vertical offset - scheduled
[10:31:24.4738207] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/ISqueaky toy(403) needs to compute vertical offset - scheduled
[10:31:24.4928591] [Debug  :Matty's Fixes] Vanilla/Flask(404) needs to compute vertical offset - scheduled
[10:31:24.5117052] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/IClock(405) needs to compute vertical offset - scheduled
[10:31:24.5316724] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Car battery(406) needs to compute vertical offset - scheduled
[10:31:24.5542495] [Debug  :Matty's Fixes] LethalLevelLoader/ImmersiveScraps/Socket Wrench(407) needs to compute vertical offset - scheduled
[10:31:24.5757901] [Debug  :Matty's Fixes] Unknown/Medic Bag(417) needs to compute vertical offset - scheduled
[10:31:24.5948618] [Debug  :Matty's Fixes] Unknown/Medic Bag(418) needs to compute vertical offset - scheduled
[10:31:24.6129905] [Debug  :Matty's Fixes] Unknown/Medic Bag(419) needs to compute vertical offset - scheduled
[10:31:24.6315272] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Lost Scavenger(420) needs to compute vertical offset - scheduled
[10:31:24.6505637] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Hoarding Bug Eggs(421) needs to compute vertical offset - scheduled
[10:31:24.6505637] [Warning: LethalMin] Item HoardingBugEggs(Clone) is not valid for Pikmin! Skipping...
[10:31:24.8639605] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Data PC(422) needs to compute vertical offset - scheduled
[10:31:24.8639605] [Warning: LethalMin] Item DataPC(Clone) is not valid for Pikmin! Skipping...
[10:31:24.8885055] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Heart(423) needs to compute vertical offset - scheduled
[10:31:24.9516169] [Debug  :Matty's Fixes] LethalLib/MoreShipUpgrades/Heart(424) needs to compute vertical offset - scheduled
